timestamp,epochs,samples,total,reconstruction_loss,regularization_loss,label
E00-B025,0.16666666666666666,100,0.09466153085231781,0.06387432232499123,0.125448736846447,training
E00-B050,0.3333333333333333,200,0.06271174713969231,0.02836102083325386,0.09706247299909591,training
E00-B075,0.5,300,0.0551494936645031,0.02385607972741127,0.08644290775060653,training
E00-B100,0.6666666666666666,400,0.049883653670549394,0.019693781360983847,0.08007352590560914,training
E00-B125,0.8333333333333334,500,0.04795344248414039,0.018615166693925857,0.07729171872138978,training
E00-B150,1.0,600,0.046400169879198074,0.016949446834623814,0.07585089206695557,training
E01-B025,1.1666666666666667,700,0.04500576809048653,0.01609310794621706,0.07391842722892761,training
E01-B050,1.3333333333333333,800,0.04275991767644882,0.013772885762155056,0.07174694925546646,training
E01-B075,1.5,900,0.042105168998241425,0.013035889267921447,0.07117444813251496,training
E01-B100,1.6666666666666665,1000,0.04169466763734817,0.013125502839684486,0.07026383250951768,training
E01-B125,1.8333333333333335,1100,0.04179349258542061,0.012165344655513763,0.07142164021730422,training
E01-B150,2.0,1200,0.04048352390527725,0.011574027203023434,0.06939302116632462,training
E02-B025,2.1666666666666665,1300,0.039803228974342346,0.01115953728556633,0.06844692051410675,training
E02-B050,2.3333333333333335,1400,0.03897831946611405,0.009786712247878313,0.06816992640495301,training
E02-B075,2.5,1500,0.03896070837974548,0.010294243730604648,0.06762717306613922,training
E02-B100,2.6666666666666665,1600,0.03924036130309105,0.01060083046555519,0.0678798919916153,training
E02-B125,2.8333333333333335,1700,0.03860903859138489,0.009813197050243616,0.06740488082170487,training
E02-B150,3.0,1800,0.03796455666422844,0.009025809559971095,0.06690330386161804,training
E03-B025,3.1666666666666665,1900,0.0376612351834774,0.008613125048577785,0.06670934468507767,training
E03-B050,3.3333333333333335,2000,0.03694737881422043,0.008258099090307952,0.06563665837049484,training
E03-B075,3.5,2100,0.036657195538282394,0.007835389859974385,0.06547900170087814,training
E03-B100,3.6666666666666665,2200,0.03678120002150535,0.008013422563672067,0.06554897755384445,training
E03-B125,3.8333333333333335,2300,0.03750575602054596,0.008487828187644481,0.0665236833691597,training
E03-B150,4.0,2400,0.0368990333378315,0.008180957771837711,0.06561710953712463,training
E04-B025,4.166666666666667,2500,0.036547304838895796,0.007914927881211042,0.06517968237400056,training
E04-B050,4.333333333333333,2600,0.03593024224042893,0.006892309561371803,0.0649681743979454,training
E04-B075,4.5,2700,0.03623521074652672,0.00772720143198967,0.06474322006106377,training
E04-B100,4.666666666666667,2800,0.03595243901014328,0.0072331812232732775,0.06467169672250747,training
E04-B125,4.833333333333333,2900,0.03578107833862305,0.007112088054418564,0.06445006906986236,training
E04-B150,5.0,3000,0.03604924023151398,0.007269049677997828,0.06482943102717399,training
E05-B025,5.166666666666667,3100,0.03514681652188301,0.006449120827019214,0.06384451150894165,training
E05-B050,5.333333333333333,3200,0.03514513731002808,0.006503141988068819,0.06378713279962539,training
E05-B075,5.5,3300,0.03530471414327621,0.006311630215495825,0.06429779812693596,training
E05-B100,5.666666666666667,3400,0.0351899217069149,0.0068736477755010125,0.06350619614124298,training
E05-B125,5.833333333333333,3500,0.035275228470563885,0.006930054007098079,0.06362040296196937,training
E05-B150,6.0,3600,0.035325040519237516,0.006338287126272917,0.06431179329752922,training
E06-B025,6.166666666666667,3700,0.03489421620965004,0.0063000134751200676,0.0634884187579155,training
E06-B050,6.333333333333333,3800,0.03471902906894684,0.006036446038633585,0.06340161249041558,training
E06-B075,6.5,3900,0.03521428138017654,0.0068027015030384065,0.06362586110830307,training
E06-B100,6.666666666666667,4000,0.03451321005821228,0.006095571145415306,0.06293084889650345,training
E06-B125,6.833333333333333,4100,0.034702110886573795,0.006155683360993862,0.0632485382258892,training
E06-B150,7.0,4200,0.03455980330705643,0.0059875667095184324,0.0631320407986641,training
E07-B025,7.166666666666667,4300,0.03484267577528954,0.006620127707719803,0.06306522324681282,training
E07-B050,7.333333333333333,4400,0.034225798398256305,0.005613422840833664,0.06283817440271378,training
E07-B075,7.5,4500,0.034438806027173995,0.005691589247435331,0.06318602204322815,training
E07-B100,7.666666666666667,4600,0.03398088812828064,0.0055245736800134185,0.06243720307946205,training
E07-B125,7.833333333333333,4700,0.0339628478884697,0.005109804309904575,0.06281589165329933,training
E07-B150,8.0,4800,0.03386032521724701,0.005260904785245657,0.0624597455561161,training
E08-B025,8.166666666666666,4900,0.03377309620380402,0.005226294603198766,0.06231989756226539,training
E08-B050,8.333333333333334,5000,0.033679022789001464,0.005048274109140038,0.06230977118015289,training
E08-B075,8.5,5100,0.03345813572406769,0.0050170531589537855,0.06189921870827675,training
E08-B100,8.666666666666666,5200,0.03396204680204391,0.005198863949626684,0.06272522985935211,training
E08-B125,8.833333333333334,5300,0.03394027560949325,0.005470885252580046,0.062409666031599045,training
E08-B150,9.0,5400,0.03417159616947174,0.0057645392883569,0.06257865339517593,training
E09-B025,9.166666666666666,5500,0.03367696493864059,0.005273849088698625,0.062080079913139345,training
E09-B050,9.333333333333334,5600,0.03375532433390618,0.005183533933013677,0.062327114343643186,training
E09-B075,9.5,5700,0.03324159055948257,0.004628128772601485,0.06185505345463753,training
E09-B100,9.666666666666666,5800,0.03353750452399254,0.005057831928133964,0.06201717749238014,training
E09-B125,9.833333333333334,5900,0.033009571135044095,0.0046154621802270415,0.06140368014574051,training
E09-B150,10.0,6000,0.033707408905029296,0.005380273088812828,0.0620345450937748,training
E10-B025,10.166666666666666,6100,0.03284355238080025,0.00421734469011426,0.06146976083517074,training
