timestamp,epochs,samples,total,reconstruction_loss,regularization_loss,label
E00-B025,0.16666666666666666,100,0.12804948925971985,0.029391318783164023,0.22670766055583955,training
E00-B050,0.3333333333333333,200,0.0867923265695572,0.024837687090039254,0.14874696642160415,training
E00-B075,0.5,300,0.06592159807682037,0.020328051075339318,0.11151514589786529,training
E00-B100,0.6666666666666666,400,0.05680930644273758,0.01623955089598894,0.0973790618777275,training
E00-B125,0.8333333333333334,500,0.052615514248609545,0.014797371998429298,0.09043365657329559,training
E00-B150,1.0,600,0.04905202686786651,0.01307068333029747,0.08503337025642395,training
E01-B025,1.1666666666666667,700,0.04633815318346023,0.011444561183452606,0.08123174518346786,training
E01-B050,1.3333333333333333,800,0.043220605701208115,0.009188748598098755,0.0772524631023407,training
E01-B075,1.5,900,0.042738692611455915,0.009115400146692992,0.07636198401451111,training
E01-B100,1.6666666666666665,1000,0.04132768154144287,0.008638471104204655,0.07401689261198044,training
E01-B125,1.8333333333333335,1100,0.04066089808940888,0.00774726364761591,0.07357453316450119,training
E01-B150,2.0,1200,0.03863532736897469,0.006753572355955839,0.07051708251237869,training
E02-B025,2.1666666666666665,1300,0.03681080743670464,0.00586288845166564,0.06775872617959976,training
E02-B050,2.3333333333333335,1400,0.03610564365983009,0.005543650668114424,0.06666763693094253,training
E02-B075,2.5,1500,0.03574757620692253,0.006044474644586444,0.06545067816972733,training
E02-B100,2.6666666666666665,1600,0.034824923276901246,0.005062906555831432,0.06458693966269494,training
E02-B125,2.8333333333333335,1700,0.03458100482821465,0.005096433144062757,0.06406557634472847,training
E02-B150,3.0,1800,0.03409597486257553,0.004581610299646854,0.06361033961176872,training
E03-B025,3.1666666666666665,1900,0.03385544210672378,0.0041280789580196145,0.06358280524611473,training
E03-B050,3.3333333333333335,2000,0.03312769487500191,0.003746258644387126,0.06250913128256798,training
E03-B075,3.5,2100,0.03294093862175942,0.0036919673159718515,0.06218991041183472,training
E03-B100,3.6666666666666665,2200,0.03289355948567391,0.0036575723625719547,0.062129546254873276,training
E03-B125,3.8333333333333335,2300,0.032980306223034855,0.0036698553431779146,0.06229075744748116,training
E03-B150,4.0,2400,0.032838526889681814,0.0036151990573853256,0.06206185430288315,training
E04-B025,4.166666666666667,2500,0.032494695484638215,0.003492302568629384,0.06149708911776543,training
E04-B050,4.333333333333333,2600,0.0321768656373024,0.0028818789822980763,0.06147185176610947,training
E04-B075,4.5,2700,0.03220504067838192,0.0032623901311308145,0.06114769086241722,training
E04-B100,4.666666666666667,2800,0.03190868109464645,0.0027362857153639198,0.06108107686042786,training
E04-B125,4.833333333333333,2900,0.031719501912593845,0.0029101996449753644,0.060528803914785385,training
E04-B150,5.0,3000,0.03184189684689045,0.0028923801705241204,0.0607914137840271,training
E05-B025,5.166666666666667,3100,0.03150240004062652,0.0027161357924342156,0.060288664251565934,training
E05-B050,5.333333333333333,3200,0.031425682231783866,0.002594822607934475,0.06025654196739197,training
E05-B075,5.5,3300,0.03148180492222309,0.002393258917145431,0.060570350885391235,training
E05-B100,5.666666666666667,3400,0.031163778752088547,0.002505371021106839,0.059822186380624774,training
E05-B125,5.833333333333333,3500,0.03132870241999626,0.0026436226395890115,0.06001378238201141,training
E05-B150,6.0,3600,0.03140932284295559,0.0024585866881534457,0.060360059440135956,training
E06-B025,6.166666666666667,3700,0.030966707020998,0.002295964849181473,0.059637449383735656,training
E06-B050,6.333333333333333,3800,0.03083257094025612,0.0021361337834969163,0.05952900826931,training
E06-B075,6.5,3900,0.031104656904935836,0.002399468147195876,0.05980984568595886,training
E06-B100,6.666666666666667,4000,0.031128955334424974,0.002586253765039146,0.0596716570854187,training
E06-B125,6.833333333333333,4100,0.03125486768782139,0.0026141286082565786,0.05989560708403587,training
E06-B150,7.0,4200,0.031059778481721877,0.0024934942601248624,0.05962606266140938,training
E07-B025,7.166666666666667,4300,0.030746102705597876,0.0024225597456097605,0.05906964540481567,training
E07-B050,7.333333333333333,4400,0.030665483400225638,0.002150504398159683,0.059180462658405306,training
E07-B075,7.5,4500,0.03099144272506237,0.002336024744436145,0.05964686095714569,training
E07-B100,7.666666666666667,4600,0.030348669439554214,0.0020894707879051564,0.0586078679561615,training
E07-B125,7.833333333333333,4700,0.030554149374365805,0.0019982085609808564,0.05911009043455124,training
E07-B150,8.0,4800,0.030481282845139502,0.001964911557734013,0.05899765431880951,training
E08-B025,8.166666666666666,4900,0.030395972579717635,0.0018915715534240007,0.05890037342905998,training
E08-B050,8.333333333333334,5000,0.03032913215458393,0.0018991658743470908,0.05875909820199013,training
E08-B075,8.5,5100,0.029934075474739075,0.0018816531728953123,0.05798649802803993,training
E08-B100,8.666666666666666,5200,0.030633528977632524,0.0022371095651760697,0.05902994841337204,training
E08-B125,8.833333333333334,5300,0.030480942502617837,0.0022196059953421355,0.05874227866530418,training
E08-B150,9.0,5400,0.030698263719677925,0.0023602021019905805,0.05903632551431656,training
E09-B025,9.166666666666666,5500,0.030208320170640946,0.0020124979596585035,0.0584041428565979,training
E09-B050,9.333333333333334,5600,0.03049141213297844,0.0020968788210302593,0.05888594552874565,training
E09-B075,9.5,5700,0.030242711231112482,0.001990428161807358,0.058494994193315504,training
E09-B100,9.666666666666666,5800,0.03036715216934681,0.002072164346463978,0.05866213962435722,training
E09-B125,9.833333333333334,5900,0.029974591434001923,0.0018699563853442668,0.05807922691106796,training
E09-B150,10.0,6000,0.030313284993171694,0.0020830921735614538,0.05854347825050354,training
E10-B025,10.166666666666666,6100,0.029935439676046373,0.0016578800370916724,0.058212999105453495,training
